"phoneID","date","measureID","sensorData","distance","samplingRate","orientation","calculatedDistance"
"samsung_SM-A705FN","2021_12_06_08_25_05","floor_hor","3","200","100000","horizontal","227.9143743530943"
"samsung_SM-A705FN","2021_12_06_08_28_04","wall","1","40","10000","vertical","30.79756907420338"
"samsung_SM-A705FN","2021_12_06_08_28_04","wall","2","40","10000","vertical","37.159976919524745"
"samsung_SM-A705FN","2021_12_06_08_28_04","wall","3","40","10000","vertical","38.32890181761554"
"samsung_SM-A705FN","2021_12_06_08_28_35","wall_hori","1","40","10000","horizontal","36.59885614843936"
"samsung_SM-A705FN","2021_12_06_08_28_35","wall_hori","2","40","10000","horizontal","40.067104162480376"
"samsung_SM-A705FN","2021_12_06_08_28_35","wall_hori","3","40","10000","horizontal","50.58334392661161"
"samsung_SM-A705FN","2021_12_06_08_35_38","floor_5m","1","500","10000","vertical","571.459204424739"
"samsung_SM-A705FN","2021_12_06_08_35_38","floor_5m","2","500","10000","vertical","767.4936078794065"
"samsung_SM-A705FN","2021_12_06_08_35_38","floor_5m","3","500","10000","vertical","710.295983642223"
"samsung_SM-A705FN","2021_12_06_08_40_48","wall_up","1","40","10000","vertical","5.719096744820399"
"samsung_SM-A705FN","2021_12_06_08_40_48","wall_up","2","40","10000","vertical","6.168420888191204"
"samsung_SM-A705FN","2021_12_06_08_40_48","wall_up","3","40","10000","vertical","4.965340355176328"
"samsung_SM-A705FN","2021_12_06_08_41_18","wall_upwa","1","40","10000","horizontal","70.00569835244886"
"samsung_SM-A705FN","2021_12_06_08_41_18","wall_upwa","2","40","10000","horizontal","57.31839150781369"
"samsung_SM-A705FN","2021_12_06_08_41_18","wall_upwa","3","40","10000","horizontal","86.0561160518811"
"samsung_SM-A705FN","2021_12_06_08_41_46","wall_up_r","1","40","10000","vertical","64.93669683861394"
"samsung_SM-A705FN","2021_12_06_08_41_46","wall_up_r","2","40","10000","vertical","58.35085760800056"
"samsung_SM-A705FN","2021_12_06_08_41_46","wall_up_r","3","40","10000","vertical","76.53725707569853"
